Chi_tieu,Gia_tri,Don_vi
- Tiền gửi không kỳ hạn và có kỳ hạn,-34128,Trieu dong
- Tiền gửi không kỳ hạn và có kỳ hạn,-868170,Trieu dong
- Tiền gửi không kỳ hạn và có kỳ hạn,-254346,Trieu dong
- Tiền gửi có kỳ hạn tại Mcredit,3492000,Trieu dong
- Tiền gửi không kỳ hạn và có kỳ hạn,-134955,Trieu dong
- Tiền gửi không kỳ hạn và có kỳ hạn,-659927,Trieu dong
- Cho vay,38391,Trieu dong
- Tiền gửi không kỳ hạn và có kỳ hạn,-473689,Trieu dong
- Tiền Ngân hàng cho vay,165312,Trieu dong
- Tiền gửi tại Ngân hàng,-15337430,Trieu dong
