Chi_tieu,Gia_tri,Don_vi
Doanh thu bộ phân,7705537903673,VND
Giá vốn bộ phân,5451328578200,VND
Lợi nhuận gộp,2254209325473,VND
Doanh thu hoạt động tài chính,170323902343,VND
Chi phí tài chính,96152814482,VND
Chi phí bán hàng,724593390895,VND
Chi phí quản lý doanh nghiệp,171982777628,VND
Lợi nhuận thuần từ hoạt động kinh doanh,1431804244811,VND
Thu nhập khác,58319044611,VND
Chi phí khác,804049086,VND
Lợi nhuận khác,57514995525,VND
Lợi nhuận trước thuế,1489319240336,VND
Thuế TNDN,164757901932,VND
Lợi nhuận sau thuế TNDN,1324561338404,VND
