Chi_tieu,Gia_tri,Don_vi
Tiền mặt,519751,Trieu VND
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,1852903,Trieu VND
Tiền gửi và cho vay các tổ chức tín dụng khác,5399327,Trieu VND
Tiền gửi tại các tổ chức tín dụng khác,5399327,Trieu VND
Các công cụ tài chính phải sinh và các tài sản tài chính khác,987,Trieu VND
Cho vay khách hàng,29216772,Trieu VND
Cho vay khách hàng,29471994,Trieu VND
Dự phòng rủi ro cho vay khách hàng,-255222,Trieu VND
Chứng khoán đầu tư,1460500,Trieu VND
Chứng khoán đầu tư giữ đến ngày đáo hạn,1553963,Trieu VND
Dự phòng rủi ro chứng khoán đầu tư,-93463,Trieu VND
"Góp vốn, đầu tư dài hạn",514521,Trieu VND
Đầu tư vào công ty con,500000,Trieu VND
Đầu tư dài hạn khác,14521,Trieu VND
Tài sản cố định,1484305,Trieu VND
Tài sản cố định hữu hình,778703,Trieu VND
Nguyên giá,996334,Trieu VND
Giá trị hao món lũy kế,-217631,Trieu VND
Tài sản cố định vô hình,705602,Trieu VND
Nguyên giá,758573,Trieu VND
Giá trị hao món lũy kế,-52971,Trieu VND
Tài sản Có khác,2086057,Trieu VND
Các khoản phải thu,218978,Trieu VND
"Các khoản lãi, phí phải thu",1561344,Trieu VND
Tài sản Có khác,309860,Trieu VND
Các khoản dự phòng rủi ro cho các tài sản Có nội bảng,-4125,Trieu VND
TỔNG TÀI SẢN,42535123,Trieu VND
