Chi_tieu,Gia_tri,Don_vi
Lợi nhuận kế toán trước thuế,476912730032,VND
Thuế tính ở thuế suất 20%Điều chỉnh:,98536993822,%
Chi phí không được khấu trừ,14899057895,VND
Ảnh hưởng của các ưu đãi thuế,-36713808888,VND
Chênh lệch tạm thời không ghi nhận thuế TNDN hoãn lại,3944516757,VND
Dự phòng thiếu của các năm trước,5558338356,VND
Điều chỉnh khác,-142270544,VND
Thuế được miễn hoặc giảm,-2309224109,VND
Chi phí thuế TNDN (*),83773603289,VND
Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:Thuế TNDN – hiện hành,83968553635,VND
Thuế TNDN – hoãn lại,-194950346,VND
