Chi_tieu,Gia_tri,Don_vi
1. Bán hàng trong năm,903924069,VND
- Thuê đất,661666667,VND
"- Nhà hàng, khách sạn",242257402,VND
2. Mua hàng trong năm,48293720000,VND
- Cá tra Fillet động lạnh,47816320000,VND
- Phí ủy thác xuất khẩu cá tra,477400000,VND
3. Vay huy động,978000000000,VND
- Vay huy động vốn,885500000000,VND
- Phải trả tiền mượn tạm,92500000000,VND
4. Chi tiền trong năm,1304628597000,VND
- Lãi vay huy động,42428597000,VND
- Trả tiền vay,1169700000000,VND
- Trả tiền mượn tạm,92500000000,VND
5. Các khoản khác,52283691268,VND
- Ủy thác xuất khẩu cá tra,51127390700,VND
- Thu hộ cước vận chuyển,1156300568,VND
1. Mua hàng trong năm,6605325678,VND
"- Nhà hàng, KS, tour du lịch",6605325678,VND
2. Cho vay huy động,47200000000,VND
- Cho vay vốn,47200000000,VND
3. Thu trong năm,46529718000,VND
- Thu tiền vay,39500000000,VND
- Thu lãi vay,7029718000,VND
1. Bán hàng trong năm,1400885381,VND
"- Nhà hàng, khách sạn",1030885381,VND
- Thuê tài sản,370000000,VND
2. Mua hàng trong năm,1150148961,VND
"- Nhà hàng, KS, vé máy bay",1150148961,VND
3. Thu tiền trong năm,13238663000,VND
- Vay huy động vốn,1200000000,VND
- Thu tiền cho vay,9000000000,VND
- Thu lãi vay,38663000,VND
- Thu tiền mượn tạm,3000000000,VND
4. Chi tiền trong năm,4613424000,VND
- Trả tiền vay,1200000000,VND
- Lãi vay,413424000,VND
- Trả tiền mượn tạm,3000000000,VND
