Chi_tieu,Gia_tri,Don_vi
Tổng lợi nhuận kế toán trước thuế,58218325774,%
Chia lợi nhuận từ HĐHTKD,42043814537,%
Phạt lãi chậm nộp thuế,13565159871,%
Chi phí không có đủ chứng từ hợp lệ,4491468479,%
Thay đổi chi phí trích trước,1410726053,%
Chi phí (thu nhập) không được khấu trừ,1946550000,%
Thu nhập từ cổ tức,-42395046500,%
Chênh lệch giá vốn bất động sản giữa thuế và kế toán,2011486925,%
Thu nhập chịu thuế ước tính năm hiện hành,81292485139,%
Thuế TNDN hiện hành theo thuế suất 22%,17639594406,%
Thuế TNDN trích thiếu các năm trước,1610288775,%
Thuế TNDN ước tính năm hiện hành,19249883181,%
Thuế TNDN phải nộp đầu năm(Hoàn nhập) ứng trước thuế TNDN phải trả từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),34517204738,%
Thuế TNDN đã nộp trong năm,-778234144,%
Thuế TNDN đã nộp trong năm,-18889187694,%
Thuế TNDN phải nộp cuối năm,34099666081,%
