Chi_tieu,Gia_tri,Don_vi
Tài sản ngắn hạn(100 = 110 + 120 + 130 + 140 + 150),17764791621979,VND
Tiền và các khoản tương đương tiền,8275458100956,VND
Các khoản tương đương tiền,8191500000000,VND
Đầu tư tài chính ngắn hạn,3443355672984,VND
Chứng khoán kinh doanh,2400812672984,VND
Đầu tư nắm giữ đến ngày đáo hạn,1042543000000,VND
Các khoản phải thu ngắn hạn,3002832755950,VND
Phải thu của khách hàng,1064170127924,VND
Trả trước cho người bán,387579285198,VND
Phải thu về cho vay ngắn hạn,244977123287,VND
Phải thu ngắn hạn khác,1306106219541,VND
Hàng tồn kho,2894567995116,VND
Hàng tồn kho,2940837879572,VND
Dự phòng giảm giá hàng tồn kho,-46269884456,VND
Tài sản ngắn hạn khác,148577096973,VND
Chi phí trả trước ngắn hạn,21495061181,VND
Thuế giá trị gia tăng được khấu trừ,126407727456,VND
Thuế phải thu Nhà nước,674308336,VND
