Chi_tieu,Gia_tri,Don_vi
1. Lợi nhuận trước thuế,136544287121,VND
- Khấu hao tài sản cố định và bắt động sản đầu tư,36473871113,VND
"- Lãi, lỗ từ hoạt động đầu tư",-8609376292,VND
- Chi phí lãi vay,71090537415,VND
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,235499319357,VND
"- Tăng, giảm các khoản phải thu",23766634,VND
"- Tăng, giảm hàng tồn kho",-510589188718,VND
"- Tăng, giảm các khoản phải trả",733659507708,VND
"- Tăng, giảm chi phí trả trước",-6649920328,VND
- Tiền lãi vay đã trả,-215234982589,VND
- Thuế thu nhập doanh nghiệp đã nộp,-53515446737,VND
- Tiền chi khác cho hoạt động kinh doanh,-5843913256,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,177349142071,VND
"1. Tiền chỉ đề mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",-6674813562,VND
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",6541382429,VND
Lưu chuyển tiền thuần từ hoạt động đầu tư,-133431133,VND
3. Tiền thu từ đi vay,681177113912,VND
4. Tiền trả nợ gốc vay,-793541027562,VND
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-112376023800,VND
Lưu chuyển tiền thuần từ hoạt động tài chính,-224739937450,VND
Lưu chuyển tiền thuần trong năm,-47524226512,VND
Tiền và tương đương tiền đầu năm,98527009757,VND
Tiền và tương đương tiền cuối năm,51002783245,VND
