Chi_tieu,Gia_tri,Don_vi
"Các khoản phải trả cán bộ, công nhân viên",2962937,Trieu VND
Các khoản phải trả khác,718470,Trieu VND
Thuế phải trả (Thuyết minh 37),755977,Trieu VND
- Thuế thu nhập doanh nghiệp phải trả,555720,Trieu VND
- Thuế giá trị gia tăng phải trả,61311,Trieu VND
- Các thuế khác phải trả,138946,Trieu VND
Doanh thu nhận trước chờ phân bổ,5038224,Trieu VND
Phải trả xây dựng và mua sắm tài sản cố định,1491780,Trieu VND
Tiền giữ hộ chờ thanh toán,512661,Trieu VND
Các khoản khác phải trả khách hàng,924538,Trieu VND
Các khoản chờ thanh toán khác,147418,Trieu VND
Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,64528,%
Vay Bộ Tài chính,806617,Trieu VND
Cổ tức phải trả (*),3329224,Trieu VND
Phải trả khác,959474,Trieu VND
