Chi_tieu,Gia_tri,Don_vi
Thu nhập từ hoạt động dịch vụ,1124580409488,VND
Dịch vụ đại lý bảo hiểm và phí liên kết bảo hiểm,432510995595,VND
Dịch vụ tư vấn,173159179344,VND
Dịch vụ thanh toán,70000476772,VND
Dịch vụ bảo quản tài sản,15993194646,VND
Dịch vụ ngân quỹ,4173112120,VND
Dịch vụ khác,428743451011,VND
Chi phí hoạt động dịch vụ,-110406103023,VND
Chi phí hoa hồng môi giới,-24357686364,VND
Dịch vụ thanh toán,-11125074890,VND
Dịch vụ tư vấn,-4087500000,VND
Dịch vụ ngân quỹ,-2314195505,VND
Chi phí bưu điện về mạng viễn thông,-937931202,VND
Dịch vụ khác,-67583715062,VND
Lãi thuần từ hoạt động dịch vụ,1014174306465,VND
