Chi_tieu,Gia_tri,Don_vi
Tiền và các khoản tương đương tiền,917939684646,VND
Các khoản phải thu ngắn hạn,1948821245030,VND
Hàng tồn kho – thuần,1918205771712,VND
Tài sản ngắn hạn khác,44748114067,VND
Các khoản phải thu dài hạn,269530000,VND
Tài sản cố định hữu hình – thuần,1110313082675,VND
Tài sản cố định vô hình – thuần,2822466620567,VND
Xây dựng cơ bản dở dang,62737331315,VND
"Đầu tư tài chính dài hạn, không bao gồm khoản đầu tư vào Vissan",41454621573,VND
Chi phí trả trước dài hạn,116460565881,VND
Tài sản thuế thu nhập hoãn lại,46282087513,VND
Phải trả người bán ngắn hạn,-790982944813,VND
Thuế phải trả Nhà nước,-59530514102,VND
Vay ngắn hạn,-1225136654332,VND
Phải trả ngắn hạn khác,-408866248651,VND
Dự phòng phải trả dài hạn,-27419839834,VND
Phải trả dài hạn khác,-415195385633,VND
Lợi ích cổ đông không kiểm soát,-985425738477,VND
Giá trị ghi sổ thuần của tài sản và nợ phải trả xác định được,5117141329137,VND
Lãi từ ngừng hợp nhất các công ty con và công ty liên kết ghi nhận ở báo cáo kết quả kinh doanh hợp nhất (Thuyết minh 33),1343202946846,VND
Lãi từ ngừng hợp nhất các công ty con được ghi nhận trong vốn khác của chủ sở hữu,175543000000,VND
Khoản thanh toán mua lại cổ phiếu Vissan,648102724017,VND
Tất toán tổng giá trị trái phiếu hoán đổi thông qua việc hoán đổi với khoản đầu tư vào Công ty Cổ phần MNS Feed,-7283990000000,VND
Tiền và các khoản tương đương tiền của MNS Feed và các công ty con tại Ngày Mất Quyền Kiểm Soát,-917939684646,VND
Tiền chi thuần,-917939684646,VND
