Chi_tieu,Gia_tri,Don_vi
III. Tài sản (*),120884231,Trieu VND
1. Tiền mặt,649952,Trieu VND
2. Tiền gửi tại Ngân hàng Nhà nước,1023135,Trieu VND
3. Tiền gửi và cho vay các TCTD khác (*),10596053,Trieu VND
4. Chứng khoán kinh doanh,8528001,Trieu VND
5. Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),5097,Trieu VND
6. Cho vay khách hàng (*),84598379,Trieu VND
7. Chứng khoán đầu tư (*),11882280,Trieu VND
"8. Góp vốn, đầu tư dài hạn",162845,Trieu VND
9. Tài sản cổ định và bất động sản đầu tư,773719,Trieu VND
10. Tài sản Có khác (*),2664770,Trieu VND
