Chi_tieu,Gia_tri,Don_vi
Số dư đầu năm trước,43271508764811,
Lợi nhuận trong năm,11708565479976,
Bán cổ phiếu quỹ,61044037968,
"Trích Quỹ khen thưởng, phúc lợi và Quỹ thưởng Ban quản lý điều hành",-308422975045,
Chia cổ tức,-7865517996998,
Thay đổi khác,-52198098,
Số dư đầu năm nay,46867125112614,
Lợi nhuận trong năm,12085651309855,
"Trích Quỹ khen thưởng, phúc lợi và Quỹ thưởng Ban quản lý điều hành",-317240383413,
Chia cổ tức,-8403251845753,
Giảm do không còn năm giữ quyền kiểm soát tại công ty con,-628195132043,
Thay đổi khác,10442296371,
Số dư cuối năm,49614531357631,
