Chi_tieu,Gia_tri,Don_vi
Tập đoàn Dầu khí Quốc gia Việt Nam,67912508336,VND
Ngân hàng TMCP Đại Chứng Việt Nam,68481298880,VND
Ngân hàng TNHH MTV Shinhan Việt Nam,43335573447,VND
Ngân hàng Oversea-Chinese Banking Corporation,37873080000,VND
Ngân hàng TMCP Phương Đông - Chi nhánh Tân Bình,35595000000,VND
Ngân hàng TMCP Tiên Phong - Chi nhánh Bến Thành,16735276250,VND
Tập đoàn Dầu khí Quốc gia Việt Nam,101725683828,VND
Ngân hàng TMCP Đại Chứng Việt Nam,194212573211,VND
Ngân hàng TNHH MTV Shinhan Việt Nam,129180573106,VND
Ngân hàng Oversea-Chinese Banking Corporation,85214430000,VND
Ngân hàng TMCP Phương Đông - Chi nhánh Tân Bình,97886250000,VND
Ngân hàng TMCP Tiên Phong - Chi nhánh Bến Thành,58573466875,VND
