Chi_tieu,Gia_tri,Don_vi
Các khoản phải thu ngắn hạn,64091855378,VND
Hàng tồn kho,838237987364,VND
Tài sản ngắn hạn khác,63062287272,VND
Các khoản phải thu dài hạn,54099652231,VND
Tài sản cố định,110412301088,VND
Tài sản dài hạn khác,43432795149,VND
Các khoản phải trả,887144337341,VND
Chi phí thuế TNDN hoãn lại,1044987103,VND
Tổng tài sản thuần theo giá trị hợp lý,222032008880,VND
Cổ đông không kiểm soát,-10770974911,VND
Lợi thế thương mại (Thuyết minh số 18),613918721185,VND
Tổng giá phí hợp nhất kinh doanh,825179755154,VND
