Chi_tieu,Gia_tri,Don_vi
"Tiền mặt, vàng",2282200,Trieu VND
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,3277007,Trieu VND
Tiền gửi và cho vay các tổ chức tín dụng khác,15245884,Trieu VND
Tiền gửi tại các tổ chức tín dụng khác,15245884,Trieu VND
Các công cụ tài chính phải sinh và các tài sản tài chính khác,30274,Trieu VND
Cho vay khách hàng,100268300,Trieu VND
Cho vay khách hàng,101324328,Trieu VND
Dự phòng rủi ro cho vay khách hàng,-1056028,Trieu VND
Chứng khoán đầu tư,20020106,Trieu VND
Chứng khoán đầu tư sẵn sàng để bán,9458122,Trieu VND
Chứng khoán đầu tư giữ đến ngày đáo hạn,12066568,Trieu VND
Dự phòng rủi ro chứng khoán đầu tư,-1504584,Trieu VND
"Góp vốn, đầu tư dài hạn",1377209,Trieu VND
Đầu tư dài hạn khác,1480063,Trieu VND
Dự phòng giảm giá đầu tư dài hạn,-102854,Trieu VND
Tài sản cố định,3214194,Trieu VND
Tài sản cố định hữu hình,785170,Trieu VND
Nguyên giá,1960023,Trieu VND
Giá trị hao mòn lũy kế,-1174853,Trieu VND
Tài sản cố định vô hình,2429024,Trieu VND
Nguyên giá,2551024,Trieu VND
Giá trị hao mòn lũy kế,-122000,Trieu VND
Tài sản Có khác,3654380,Trieu VND
Các khoản phải thu,1455678,Trieu VND
"Các khoản lãi, phí phải thu",993424,Trieu VND
Tài sản Có khác,1211309,Trieu VND
Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-6031,Trieu VND
TỔNG TÀI SẢN,149369554,Trieu VND
Các khoản nợ Ngân hàng Nhà nước Việt Nam,55717,Trieu VND
Tiền gửi và vay các tổ chức tín dụng khác,11256430,Trieu VND
Tiền gửi của các tổ chức tín dụng khác,7697240,Trieu VND
Vay các tổ chức tín dụng khác,3559190,Trieu VND
Tiền gửi của khách hàng,117539696,Trieu VND
Phát hành giấy tờ có giá,3000000,Trieu VND
Các khoản nợ khác,3266530,Trieu VND
"Các khoản lãi, phí phải trả",2153139,Trieu VND
Các khoản phải trả và công nợ khác,1113391,Trieu VND
TỔNG NỘ PHẢI TRẢ,135118373,Trieu VND
Vốn chủ sở hữu,14251181,Trieu VND
Vốn điều lệ,12355229,Trieu VND
"Vốn đầu tư xây dựng cơ bản, mua sắm tài sản cố định",15396,Trieu VND
Thặng dư vốn cổ phần,156322,Trieu VND
Cổ phiếu quỹ,-78273,Trieu VND
Các quỹ,1587009,Trieu VND
Lợi nhuận chưa phân phối/(lỗ lũy kế),215498,Trieu VND
TỔNG VỐN CHỦ SỞ HỮU,14251181,Trieu VND
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,149369554,Trieu VND
Bảo lãnh vay vốn,8061,Trieu VND
Cam kết giao dịch hồi đoái Trong đó:,67636042,Trieu VND
▪ Cam kết mua ngoại tệ,2379058,Trieu VND
▪ Cam kết bán ngoại tệ,1623301,Trieu VND
▪ Cam kết giao dịch hoán đối tiền tệ,63633683,Trieu VND
Cam kết trong nghiệp vụ L/C,3097547,Trieu VND
Bảo lãnh khác,3051765,Trieu VND
Các cam kết khác,165222,Trieu VND
