Chi_tieu,Gia_tri,Don_vi
Tổng lợi nhuận kế toán trước thuếĐiều chỉnh lợi nhuận kế toán do hợp nhấtbáo cáo tài chính,6339072,Trieu dong
Tổng lợi nhuận kế toán trước thuếĐiều chỉnh lợi nhuận kế toán do hợp nhấtbáo cáo tài chính,197657,Trieu dong
Tổng lợi nhuận kế toán trước thuế trước điều chỉnhdo hợp nhất báo cáo tài chính,6536729,Trieu dong
Thuế TNDN theo thuế suất 20% áp dụng cho Ngânhàng và các công ty con,1307346,%
Các khoản điều chỉnh tăng:- Dự phòng tài sản Có khác và các khoản đầu tudài hạn,53908,Trieu dong
- Các khoản chi phí không được khấu trừ,29519,Trieu dong
- Lỗ chưa sử dụng Công ty con chuyển sang nămsau,4226,Trieu dong
Các khoản điều chỉnh giảm:- Thu nhập cổ tức không chịu thuế,-51572,Trieu dong
- Hoàn nhập dự phòng tài sản Có khác và cáckhoản đầu tư dài hạn,-167200,Trieu dong
- Thu nhập từ chuyển nhượng quyền sử dụng đất,-331346,Trieu dong
- Chênh lệch thuế suất,-29187,%
- Giảm khác,-1072,Trieu dong
Chi phí thuế TNDN ước tính trong năm,814622,Trieu dong
Thuế chuyển nhượng quyền sử dụng đất,331346,Trieu dong
Nộp bổ sung thuế các năm trước,22599,Trieu dong
Chi phí thuế TNDN hiện hành trong năm,1168567,Trieu dong
