Chi_tieu,Gia_tri,Don_vi
Lợi nhuận trước thuế Điều chỉnh cho các khoản:,376611212498,VND
Khẩu hao tài sản cố định,61991939553,VND
Các khoản dự phòng,119263671477,VND
Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,-3205017,VND
Lãi từ hoạt động đầu tư,-131613443402,VND
Chi phí lãi vay,106018924136,VND
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,532269099245,VND
Giảm/(tăng) các khoản phải thu,1095887398632,VND
Giảm hàng tồn kho,53917452929,VND
Tăng/(giảm) các khoản phải trả,171464258311,VND
Giảm chi phí trả trước,2097045350,VND
Tiền lãi vay đã trả,-106185368245,VND
Thuế thu nhập doanh nghiệp đã nộp,-31027000000,VND
Tiền chi khác cho hoạt động kinh doanh,-19871713000,VND
Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động kinh doanh,1698551173222,VND
"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-76594064169,VND
"Tiền thu do thanh lý, nhượng bán TSCĐ",5514623481,VND
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-1572652223664,VND
Tiền thu hồi lại khoản tiền gửi có kỳ hạn,25000000000,VND
"Tiền thu lãi tiền gửi, cổ tức và lợi nhuận được chia",100438739435,VND
Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,-1518292924917,VND
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",1329761090000,VND
Tiền thu từ đi vay,8855407545776,VND
Tiền chi trả nợ gốc vay,-10417548781076,VND
Tiền chi trả nợ gốc thuê tài chính,-102071734204,VND
Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động tài chính,-334451879504,VND
Lưu chuyển tiền và tương đương tiền thuần trong năm,-154193631199,VND
Tiền và tương đương tiền đầu năm,481247655910,VND
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,3205017,VND
Tiền và tương đương tiền cuối năm,327057229728,VND
