Chi_tieu,Gia_tri,Don_vi
Phải thu lãi tiền gửingắn hàng,50173095313,
Phải thu lãi cho vay,5913342738,
"Ký cược, ký quỹ",5942781249,
"Phải thu lợi nhuận, cổtức được chia",5563782086,
Phải thu về cổ phần hóacác công ty con và liênkết,4443615290,
Tạm ứng cho CBCNV,2028180395,
Tài sản thiếu chờ xử lí,212619999,
Thu hồi vốn đầu tư củaphần diện tích rừng bịtồn thất (*),1520727758,
Phải thu khác,4918555528,
TỔNG CỘNG,80716700356,
Phải thu khác,64942645536,
Phải thu khác từ bên liênquan (Thuyết minh số31),15774054820,
"Ký cược, ký quỹ",1888348501,
Phải thu dài hạn khác,661480832,
TỔNG CỘNG,2549829333,
