Chi_tieu,Gia_tri,Don_vi
Lợi nhuận trước thuế Điều chỉnh cho các khoản:,484340916453,VND
Khấu hao và hao mòn,13735081154,VND
Các khoản dự phòng,1430772139,VND
Lãi từ hoạt động đầu tư,-43708871266,VND
Chi phí lãi vay,20554703566,VND
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,476352602046,VND
Tăng các khoản phải thu,-566792764022,VND
Tăng hàng tồn kho,-35055433091,VND
Tăng các khoản phải trả (Giảm) tăng chi phí trả trước,27371102993,VND
Tiền lãi vay đã trả,-34082328714,VND
Thuế thu nhập doanh nghiệp đã nộp,-34165987336,VND
Tiền chi khác cho hoạt động kinh doanh,-80824364594,VND
Tiền chi khác cho hoạt động kinh doanh,-13961844924,VND
Lưu chuyển tiền thuần (sử dụng vào) từ hoạt động kinh doanh,-261159017642,VND
"Tiền chi đề mua sám, xây dựng tài sản cố định",-7916759074,VND
Tiền thu do thanh lý TSCĐ,35601770596,VND
Tiền chi cho vay,-64013059386,VND
Tiền chi đầu tư góp vốn vào các đơn vị khác,-246410911921,VND
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,211584308448,VND
"Tiền thu lãi cho vay, cổ tức",25688673908,VND
Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,-45465977429,VND
Tiền thu từ phát hành trái phiếu chuyển đổi,40503427830,VND
Tiền thu từ vốn góp của cổ đông thiểu số,345459240000,VND
Tiền thu từ đi vay,865185286783,VND
Tiền chi trả nợ gốc vay,-339607527274,VND
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-96548456872,VND
Lưu chuyển tiền thuần từ hoạt động tài chính,814991970467,VND
Lưu chuyển tiền và tương đương tiền thuần trong năm,508366975396,VND
Tiền và tương đương tiền đầu năm,423195907688,VND
Tiền và tương đương tiền cuối năm,931562883084,VND
