Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,1536198356771,VND
2. Các khoản giảm trừ doanh thu,129708154836,VND
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,1406490201935,VND
4. Giá vốn hàng bán,1062153110781,VND
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,344337091154,VND
6. Doanh thu hoạt động tài chính,9303044192,VND
7. Chi phí tài chính,41872667203,VND
Trong đó: Chi phí lãi vay,42761844105,VND
"8. Phần lãi hoặc lỗ trong công ty liên kết, liên doanh",39108789200,VND
8. Chi phí bán hàng,26992284378,VND
9. Chi phí quản lý doanh nghiệp,98984827905,VND
10. Lợi nhuận thuần từ hoạt động kinh doanh,224899145061,VND
11. Thu nhập khác,3359734696,VND
12. Chi phí khác,4818946357,VND
13. Lợi nhuận khác,-1459211661,VND
14. Tổng lợi nhuận kế toán trước thuế,223439933400,VND
15. Chi phí thuế TNDN hiện hành,51083951830,VND
16. Chi phí thuế TNDN hoãn lại,-1428753921,VND
17. Lợi nhuận sau thuế thu nhập doanh nghiệp,173784735491,VND
18. Lợi nhuận kế toán sau thuế của công ty mẹ,173116771924,VND
19. Lợi nhuận kế toán sau thuế của cổ đông không kiểm soát,667963566,VND
20. Lãi cơ bản trên cổ phiếu,787,VND/co phieu
21. Lãi suy giảm trên cổ phiếu.,787,VND/co phieu
