Chi_tieu,Gia_tri,Don_vi
02. Đầu tư tài chính (Tiếp theo)02.3. Đầu tư góp vốn vào đơn vị khác,309887344271,
Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,3634487150,
Công ty CP EVN Quốc Tế (*),44118073392,
Công ty CP Du lịch Sài Gòn Đông Hà,2373207826,
Công ty CP Điện Việt Lào (*),79567924335,
Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,18837733714,
Công ty CP Đầu tư XD & XNK Cao su,81915240,
Công ty CP Đầu tư Vĩnh Sơn,45325992518,
Công ty CP Vi sinh Việt Mỹ,3644839338,
Công ty CP Địa Ốc MB (*),600000000,
Công ty CP Mía đường Thanh Hóa (*),4897408624,
Công ty CP Tuấn Lộc Quảng Trị (*),3000000000,
Công ty CP CB Gỗ XK Địa ốc Cao su (*),303998714,
Công ty Cổ phần Phú Việt Tín (*),12500000000,
Công ty CP Đầu tư Sài Gòn VRG (*),91001763420,
