Chi_tieu,Gia_tri,Don_vi
Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),572671146383,VND
Nợ khó đòi đã xử lý (VND),154126739670,VND
Ngoại tệ (USD),1182193,VND
Chứng khoán lưu ký (VND),31484227312000,VND
Chứng khoán chưa lưu ký (VND),1153171522900,VND
Tiền gửi của nhà đầu tư ủy thác (VND),939332428229,VND
Danh mục đầu tư của nhà đầu tư ủy thác (VND),254898389400,VND
Các khoản phải thu của nhà đầu tư ủy thác (VND),6951543152,VND
Các khoản phải trả của nhà đầu tư ủy thác (VND),-938883595003,VND
"Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)",2519762264225,VND
