Chi_tieu,Gia_tri,Don_vi
Chi phí nhân viên,65277664448,VND
Chi phí vật liệu quản lý và đồ dùng văn phòng,1204346460,VND
Chi phí khấu hao tài sản cố định,13857428027,VND
"Thuế, phí, lệ phí",110840102,VND
Tiền thuê đất,1799672652,VND
Chi phí tư vấn,5982937500,VND
Chi phí dịch vụ mua ngoài,62487931306,VND
"- Chi tuyển truyền, quảng cáo",8608052998,VND
- Chi phí thuê văn phòng,25761956465,VND
- Chi khác,28117921843,VND
Chi phí quản lý khác,28097185033,VND
"- Các khoản trích theo lương, công tác phí",12747673477,VND
"- Chi an sinh xã hội, tài trợ giáo dục, y tế",2020492350,VND
- Chi bảo hiểm con người và bảo hiểm tài sản,5736629327,VND
- Chi khác,7592389879,VND
