Chi_tieu,Gia_tri,Don_vi
1. Lợi nhuận trước thuế,223069639984,VND
2. Điều chỉnh cho các khoản Khấu hao tài sản cố định và BĐSDĐT,1510099151,VND
Các khoản dự phòng,2750436056,VND
(Lãi)/lỗ chênh lệch tỷ giá hối doái do đánh giá lại,-24710980,VND
các khoản mục tiền tệ có gốc ngoại tệ (Lãi)/lỗ từ hoạt động đầu tư,-219019060057,VND
Chi phí lãi vay,8374640273,VND
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,16661044427,VND
(Tăng)/giảm các khoản phải thu,582624383,VND
(Tăng)/giảm hàng tồn kho,123315014633,VND
"Tăng/(glảm) các khoản phải trả (Không lẻ lải vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",17634960047,VND
Tăng/giảm chi phí trả trước,25595616,VND
Tiền lãi vay đã trả,-8374640273,VND
Thuế thu nhập doanh nghiệp đã nộp,-15077695135,VND
Tiền chi khác cho hoạt động kinh doanh,68006054,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,134834909752,VND
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-8524940000,VND
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",1318181818,VND
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-383417271426,VND
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",1099304319881,VND
5.Tiền chi đầu tư góp vốn vào đơn vị khác,-2318340000000,VND
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,923506000000,VND
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",299967391913,VND
Lưu chuyển tiền thuần từ hoạt động đầu tư,-386186317814,VND
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",134681958146,VND
2.Tiền thu từ đi vay,275475000000,VND
3.Tiền trả nợ gốc vay,-32000000000,VND
"4.Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-109897625200,VND
Lưu chuyển tiền thuần từ hoạt động tài chính,268259332946,VND
Lưu chuyển tiền thuần trong năm (50 = 20+30+40),16907924884,VND
Tiền và tương đương tiền đầu năm,16483670555,VND
Tiền và tương đương tiền cuối năm (70 = 50+60+61),33391595439,VND
