Chi_tieu,Gia_tri,Don_vi
Các khoản đầu tư nấm giữ đến ngày đáo hạn (1),5464741128665,VND
- Tiến gửi có kỳ hạn còn lại trên 1 năm,2000415894298,VND
- Trải phiếu nằm giữ đến ngày đáo hạn,3464325234367,VND
"Đầu tư vào công ty liên doanh, liên kết (2)",785069409790,VND
- Công ty Cổ phần Tập đoàn PAN (PAN),785069409790,VND
Tổng cộng,6249810538455,VND
Số đầu năm,794315339944,VND
Thanh lý một phần công ty liên kết trong năm,-25550058810,VND
Chênh lệch do công ty liên kết thay đổi số lượng cổ phiếu lưu hành,-7822160099,Co phieu
Lãi từ công ty liên kết ghi nhận vào báo cáo kết quả hoạt động hợp nhất trong năm,20537702917,VND
- Phân chia sẻ lãi trong năm,20537702917,VND
Điều chỉnh khác,3588585838,VND
Số cuối năm,785069409790,VND
