Chi_tieu,Gia_tri,Don_vi
Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,689311081913,VND
"Khấu hao tài sản cố định hữu hình, bất động sản đầu tư và hao mòn tài sản cố định vô hình",45782368148,VND
Các khoản dự phòng,12966417828,VND
Lãi từ hoạt động đầu tư,-234631243885,VND
Chi phí lãi vay (bao gồm chi phí phát hành trái phiếu phân bổ trong năm),120078788549,VND
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,633507412553,VND
(Tăng)/giảm các khoản phải thu,-22607742061,VND
Tăng hàng tồn kho,-92052801808,VND
"(Giảm)/tăng các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",-153878220569,VND
(Tăng)/giảm chi phí trả trước,-162648827,VND
Giảm/(tăng) chứng khoán kinh doanh,302189107452,VND
Tiền lãi vay đã trả,-96839270587,VND
Thuế thu nhập doanh nghiệp đã nộp,-162574146850,VND
Tiền chi khác cho hoạt động kinh doanh,-511333346,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,407070355957,VND
"Tiền chi để mua sắm, xây dựng tài sản cố định (TSCĐ) và các tài sản dài hạn khác",-12763711953,VND
Tiền chi cho vay,-8700000000,VND
Tiền chi để đầu tư góp vốn vào đơn vị khác,-46865598470,VND
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",193704090704,VND
Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động đầu tư,125374780281,VND
Tiền thu từ phát hành cổ phiếu,199992784800,VND
Tiền thu từ đi vay,1350820310264,VND
Tiền trả nợ gốc vay,-1432472711950,VND
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-203823526650,VND
Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,-85483143536,VND
Lưu chuyển tiền thuần trong năm,446961992702,VND
Tiền đầu năm,35544159513,VND
Tiền và các khoản tương đương tiền cuối năm,482506152215,VND
