Chi_tieu,Gia_tri,Don_vi
Doanh thu bán hàng và cung cấp dịch vụ,495537446335,VND
Các khoản giảm trừ doanh thu,989166098,VND
Doanh thu thuần về bán hàng và cung cấp dịch vụ,494548280237,VND
Giá vốn hàng bán,460135137500,VND
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,34413142737,VND
Doanh thu hoạt động tài chính,399406109560,VND
Chi phí tài chính,283110879879,VND
Trong đó: chi phí lãi vay,228827692753,VND
Chi phí quản lý doanh nghiệp,76503669175,VND
Lợi nhuận thuần từ hoạt động kinh doanh,74204703243,VND
Thu nhập khác,7150695225,VND
Chi phí khác,49686390825,VND
Lợi nhuận khác,-42535695600,VND
Tổng lợi nhuận kế toán trước thuế,31669007643,VND
Lợi nhuận sau thuế thu nhập doanh nghiệp,31669007643,VND
