Chi_tieu,Gia_tri,Don_vi
Doanh thu gộp,18655472297570,VND
Doanh thu hợp đồng xây dựng,18320428484807,VND
"Doanh thu chuyển nhượng bất động sản, căn hộ và đất nền",71686936017,VND
Doanh thu bán hàng hóa,46724824998,VND
Doanh thu kinh doanh cơ sở hạ tầng,49060578958,VND
Giảm giá hàng bán,-45735383817,VND
Doanh thu thuần,18609736913753,VND
Doanh thu hợp đồng xây dựng (*),18320407636007,VND
"Doanh thu chuyển nhượng bất động sản, căn hộ và đất nền",25972401000,VND
Doanh thu bán hàng hóa,46724824998,VND
Doanh thu kinh doanh cơ sở hạ tầng,49060578958,VND
