Chi_tieu,Gia_tri,Don_vi
TÀI SẢN NGĂN HẠN,6297471017134,VND
Tiền và các khoản tương đương tiền,979225965598,VND
Các khoản tương đương tiền,570050000000,VND
Đầu tư tài chính ngắn hạn,3486468628419,VND
Đầu tư nằm giữ đến ngày đáo hạn,3486468628419,VND
Các khoản phải thu ngắn hạn,1194435658967,VND
Phải thu ngắn hạn của khách hàng,944337079204,VND
Trả trước cho người bán ngắn hạn,32837280629,VND
Phải thu ngắn hạn khác,316370079345,VND
Dự phòng phải thu ngắn hạn khó đòi,-99780598393,VND
Tài sản thiếu chờ xử lý,671818182,VND
Hàng tồn kho,232665394329,VND
Hàng tồn kho,232665394329,VND
Tài sản ngắn hạn khác,404675369821,VND
Chi phí trả trước ngắn hạn,68917743743,VND
Thuế giá trị gia tăng được khấu trừ,322864671775,VND
Thuế và các khoản khác phải thu Nhà nước,12892954303,VND
TÀI SẢN DÀI HẠN,11192482417619,VND
Các khoản phải thu dài hạn,161541444285,VND
Phải thu dài hạn của khách hàng,4872936898,VND
Phải thu dài hạn khác,156668507387,VND
Tài sản cố định,10088092507886,VND
Tài sản cố định hữu hình,10085861159014,VND
- Nguyễn giá,16167877454520,VND
- Giá trị hao mòn lũy kế,-6082016295506,VND
Tài sản cố định vô hình,2231348872,VND
- Nguyên giá,11101129851,VND
- Giá trị hao mòn lũy kế,-8869780979,VND
Tài sản dở dang dài hạn,4738049506,VND
Chi phí xây dựng cơ bản dở dang,4738049506,VND
Đầu tư tài chính dài hạn,200846308684,VND
Đầu tư vào công ty liên kết,154908541384,VND
Đầu tư góp vốn vào đơn vị khác,45937767300,VND
Tài sản dài hạn khác,737264107258,VND
Chi phí trả trước dài hạn,672399824215,VND
Tài sản thuế thu nhập hoãn lại,64864283043,VND
TỔNG CỘNG TÀI SẢN (270=100+200),17489953434753,VND
NỘ PHẢI TRẢ,8459558642690,VND
Nợ ngắn hạn,3392213586806,VND
Phải trả người bán ngắn hạn,794247268814,VND
Người mua trả tiền trước ngắn hạn,51736032666,VND
Thuế và các khoản phải nộp Nhà nước,88460162463,VND
Phải trả người lao động,326390428368,VND
Chi phí phải trả ngắn hạn,137331269596,VND
Doanh thu chưa thực hiện ngắn hạn,30283517530,VND
Phải trả ngắn hạn khác,218679556177,VND
Vay và nợ thuê tài chính ngắn hạn,1387771910484,VND
Dự phòng phải trả ngắn hạn,216924608203,VND
"Quỹ khen thưởng, phúc lợi",140388832505,VND
Nợ dài hạn,5067345055884,VND
Phải trả dài hạn khác,397966927419,VND
Vay và nợ thuê tài chính dài hạn,4540432047007,VND
Dự phòng phải trả dài hạn,128946081458,VND
VỐN CHỦ SỞ HỮU,9030394792063,VND
Vốn chủ sở hữu,9030394792063,VND
Vốn góp của chủ sở hữu,3236512460000,VND
- Cổ phiếu phố thông có quyền biểu quyết,3236512460000,VND
Vốn khác của chủ sở hữu,230287240000,VND
Quỹ đầu tư phát triển,1461254641549,VND
Quỹ khác thuộc vốn chủ sở hữu,46060438823,VND
Lợi nhuận sau thuế chưa phân phối,1836654737011,VND
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,864210890380,VND
- Lợi nhuận sau thuế chưa phân phối năm nay,972443846631,VND
Lợi ích cổ đông không kiểm soát,2219625274680,VND
