Chi_tieu,Gia_tri,Don_vi
Công ty CP Đầu tư Phát triểnXây dựng Số 1,52162895582,VND
Công ty CP Đầu tư Phát triểnXây dựng Số 1,2657888640,VND
Công ty CP Đầu tư Phát triển -Xây dựng (DIC) Số 2,45681744837,VND
Công ty CP Đầu tư Phát triển -Xây dựng (DIC) Số 2,17150000000,VND
Công ty CP Gạch men Anh Em DIC,3499060274,VND
Công ty CP Gạch men Anh Em DIC,33839211640,VND
Công ty Cổ phần Du lịch DIC,4003255278,VND
Công ty Cổ phần Du lịch DIC,108666672,VND
Công ty Cổ phần Du lịch DIC,160000000000,VND
Công ty CP Bất động sản D.I.C,28516455736,VND
Công ty CP Bất động sản D.I.C,828785700,VND
Công ty CP Đầu tư Phát triển Phương Nam,2528112834,VND
Công ty CP Đầu tư Phát triển Phương Nam,30501825618,VND
Công ty CP Đầu tư Phát triển Phương Nam,36350000000,VND
Công ty CP Đầu tư Phát triển Phương Nam,82000000000,VND
Công ty CP Xây dựng DIC Holdings,721189211485,VND
Công ty CP Xây dựng DIC Holdings,18841340000,VND
Công ty CP Xây dựng DIC Holdings,670935915533,VND
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,2167189600,VND
Công ty TNHH MTV Đầu Tư Phát Triển Đô Thị và Khu Công Nghiệp DIC,48299531767,VND
Công ty CP Đầu tư Phát triển Xây dựng Hội An,22500000,VND
