Chi_tieu,Gia_tri,Don_vi
Nông nghiệp và lâm nghiệp và thủy sản,883940,Trieu dong
Khai khoáng,11140,Trieu dong
"Công nghiệp chế biến, chế tạo",1230669,Trieu dong
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",139500,Trieu dong
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",3623,Trieu dong
Xây dựng,1235824,Trieu dong
"Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy và động cơ khác",1718259,Trieu dong
Dịch vụ lưu trú và ăn uống,221524,Trieu dong
Vận tải kho bãi,288151,Trieu dong
Thông tin và truyền thông,27128,Trieu dong
"Hoạt động tài chính, ngân hàng và bảo hiểm",100000,Trieu dong
"Hoạt động chuyên môn, khoa học và công nghệ",80936,Trieu dong
Hoạt động kinh doanh bắt động sản,588092,Trieu dong
Giáo dục và đào tạo,249843,Trieu dong
Y tế và hoạt động trợ giúp xã hội,265932,Trieu dong
"Nghệ thuật, vui chơi và giải trí",17836,Trieu dong
Hoạt động dịch vụ khác,6218697,Trieu dong
"Hoạt động làm thuê các công việc trong các hộ gia đình,",3221045,Trieu dong
Tổng cộng,16502139,Trieu dong
