Chi_tieu,Gia_tri,Don_vi
Lợi nhuận trước thuếĐiều chỉnh cho các khoản:,1138029148293,VND
Khấu hao tài sản cố định hữu hình và hao mòn tài sản cố định vô hình,387717957877,VND
(Hoàn nhập dự phòng)/các khoản dự phòng,-252273600,VND
Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,46258047942,VND
Lãi từ hoạt động đầu tư,-92444764630,VND
Chỉ phí lãi vay,41558868236,VND
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,1520866984118,VND
Giảm các khoản phải thu,158234944752,VND
Giảm hàng tồn kho,1571337539,VND
Tăng các khoản phải trả,62702345949,VND
Giảm chi phí trả trước,2592903842,VND
Tiền lãi vay đã trả,-42085882017,VND
Thuế thu nhập doanh nghiệp đã nộp,-233073267684,VND
Tiền thu từ hoạt động kinh doanh khác,736926000,VND
Tiền chi khác cho hoạt động kinh doanh,-39255381078,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,1432290911421,VND
"Tiền chi để mua sắm, xây dựng tài sản cố định (TSCĐ)",-23214999077,VND
"Tiền thu do thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",232350279,VND
Tiền chi gửi tiền có kỳ hạn,-1300108400000,VND
Tiền thu hồi tiền gửi có kỳ hạn,930000000000,VND
Tiền thu lãi tiền gửi và cố tức lợi nhuận được chia,73748012937,VND
Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,-319343035861,VND
Tiền trả nợ gốc vay,-137071835968,VND
Cổ tức đã trả cho cổ đông,-889340000000,VND
Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,-1026411835968,VND
Lưu chuyển tiền và tương đương tiền thuần trong năm,86536039592,VND
Tiền và tương đương tiền đầu năm,604583867007,VND
Ảnh hưởng của tỉ giá hối đoái quy đổi ngoại tệ,2121796,VND
Tiền và tương đương tiền cuối năm,691122028395,VND
