Chi_tieu,Gia_tri,Don_vi
Thu nhập lãi và các khoản thu nhập tương tự từ Tiền gửi tại các TCTD khác,360567,Trieu VND
Cho vay khách hàng và cho vay các TCTD khác,38378057,Trieu VND
Các khoản đầu tư chứng khoán nợ,1791079,Trieu VND
Thu phí từ nghiệp vụ bảo lãnh,166089,Trieu VND
Các hoạt động tín dụng khác,77878,Trieu VND
Chi phí lãi và các chi phí tương tự cho Tiền gửi từ khách hàng và các TCTD khác,-19641683,Trieu VND
Tiền vay và vốn ủy thác,-1001804,Trieu VND
Giấy tờ có giá đã phát hành,-2475954,Trieu VND
Chi phí hoạt động tín dụng khác,-104145,Trieu VND
Thu nhập lãi thuần,17550084,Trieu VND
