Chi_tieu,Gia_tri,Don_vi
- Ngân hàng Thương mại TNHH MTV Đại Dương (1),58922699092,
- Phải trả Công ty TNHH Pegasus Thắng Long tương ứng 60% lợi ích đượchuống trong dự án Sài Gòn AirPort theo hợp đồng hợp tác kinh doanh (2),116042770800,%
- Cổ tức phải trả,596029250,
- Công ty TNHH VNT (3),72000000000,
- Công ty Tài chính Cổ phần Điện lực (4),70094503260,
- Công ty Cổ phần BSC Việt Nam (5),49450694902,
- Phải trả phạt do quá hạn hợp đồng (6),168935090095,
- Trung tâm Phát triển Quỹ đất TP. Hạ Long (7),15353795000,
- Công ty Cổ phần Đầu tư Lam Hồng (8),18788834489,
- Nhận đặt cọc chuyên nhượng vốn góp dự án VNT Hạ Đình (9),75020000000,
- Phải trả Ngân hàng TMCP Hàng Hải - Tiền lãi vay,236635000000,
- Phải trả ngắn hạn khác,72602498445,
