Chi_tieu,Gia_tri,Don_vi
Phải thu theo các hợp đồng hợp tác và biên bảnthỏa thuận (i),349839888358,VND
Phải thu theo biên bản thanh lý thỏa thuận đặt cọchợp tác đầu tư (ii),349300000000,VND
Tạm ứng,49944826912,VND
Phải thu ngắn hạn khác,16376432804,VND
TỔNG CỘNG,765461148074,VND
Phải thu khác ngắn hạn của các bên khác,764038269181,VND
Phải thu khác ngắn hạn từ các bên liên quan(Thuyết minh số 33),1422878893,VND
Phải thu theo các hợp đồng hợp tác đầu tư (iii),341091689634,VND
Ký quỹ thực hiện dự án (iv),98346015364,VND
TỔNG CỘNG,439437704998,VND
Phải thu khác dài hạn của đối tác doanh nghiệp,98346015364,VND
Phải thu khác dài hạn từ các bên liên quan(Thuyết minh số 33),341091689634,VND
