Chi_tieu,Gia_tri,Don_vi
"- Phải thu về lãi tiền gửi, tiền cho vay",34219147574,VND
- Phải thu người lao động,932967468,VND
- Phải thu về bảo hiểm xã hội,103948256,VND
- Tạm ứng,68649351657,VND
"- Ký cược, ký quỹ",498536502907,VND
- Phải thu trả lại hàng (7),168486489023,VND
- Các khoản chi/bù trừ công nợ hộ (8)/(9),237881869735,VND
- Phải thu về Hợp tác kinh doanh,1997921100451,VND
- Phải thu khác,6680902600,VND
"+ Ký quỹ, ký cược",498536502907,VND
- Công ty Cổ phần Hồng Lam Xuân Thành (1),254268689153,VND
- Công ty Cổ phần Tư vấn Kiết kế và Đầu tư Xây dựng Đại Nam Sơn (2),52650639863,VND
- Công ty Cổ phần Paradise Đại Lai (3),55000000000,VND
- Công ty TNHH Đầu tư và Phát triển Lê Phong - Dự án Lê Phong Thuận Giao,47031165300,VND
- Công ty Cổ phần C-Holdings - Dự án C-River view,4114060000,VND
- Đối tượng khác,85471948591,VND
+ Hợp tác kinh doanh,1997921100451,VND
- Công ty Cổ phần Tập đoàn Đông Đồ (4),30000000000,VND
- Công ty Cổ phần Bất động sản Galaxy Land (5),1167921100451,VND
- Công ty Cổ phần Đầu tư Thành Đạt VN (6),800000000000,VND
+ Phải thu khác,516954676313,VND
- Công ty TNHH Giải pháp và Công nghệ An Thịnh,384300000,VND
- Công ty TNHH Địa Óc Gia Phú,5391000324,VND
- Công ty Cổ phần Hồng Lam Xuân Thành (7),168486489023,VND
- Bà Đình Thùy Dương (8),232000000000,VND
- Ông Nguyễn Công Lam (9),5881869735,VND
- Công ty Cổ phần Dịch vụ Golf và Lữ hành Thế kỳ,5000000000,VND
- Phải thu các đối tượng khác,99811017231,VND
"- Ký cược, ký quỹ",1650229944036,VND
- Phải thu về Hợp tác kinh doanh,123616800000,VND
