Chi_tieu,Gia_tri,Don_vi
Từ ngày 25 tháng 3 năm 2023đến ngày 13 tháng 5 năm 2024,9667281805,VND
Từ ngày 25 tháng 3 năm 2023đến ngày 21 tháng 1 năm 2024,8157496992,VND
Từ ngày 25 tháng 3 năm 2023đến ngày 10 tháng 6 năm 2024,6917658235,VND
Từ ngày 25 tháng 3 năm 2023đến ngày 6 tháng 5 năm 2024,6761473422,VND
Từ ngày 25 tháng 1 năm 2023đến ngày 8 tháng 7 năm 2024,4002672661,VND
Từ ngày 25 tháng 3 năm 2023đến ngày 13 tháng 12 năm 2023,2951362465,VND
Từ ngày 25 tháng 3 năm 2023đến ngày 29 tháng 5 năm 2023,628265500,VND
TỔNG CỘNG,39086211080,VND
Từ ngày 1 tháng 3 năm 2023 đến ngày 17 tháng 1 năm 2025,785594560,VND
Vay dài hạn đến hạn trả,392797309,VND
Vay dài hạn,392797251,VND
TỔNG CỘNG,103698979683,VND
Vay dài hạn đến hạn trả,41573385442,VND
Vay dài hạn,62125594241,VND
