Chi_tieu,Gia_tri,Don_vi
▪ Các khoản phải thu nội bộ,71598,Trieu VND
▪ Các khoản tạm ứng và đặt cọc hợp đồng,1557002,Trieu VND
▪ Các khoản đặt cọc hợp đồng đại lý bảo hiểm,198828,Trieu VND
▪ Các khoản ký quỹ bảo lãnh tại ngân hàng nước ngoài,57809,Trieu VND
▪ Dịch vụ thanh toán trước hối phiếu theo LC,1696277,Trieu VND
▪ Phải thu từ dịch vụ Bank Plus,341265,Trieu VND
▪ Phải thu được phân loại là tài sản có rủi ro tín dụng(Nhóm 5 – Nợ có khả năng mất vốn),70464,Trieu VND
▪ Các khoản phải thu khác,769025,Trieu VND
Các khoản lãi và phí phải thu,2731876,Trieu VND
▪ Chi phí chờ phân bố,349136,Trieu VND
▪ Tài sản gán nợ đã chuyển quyền sở hữu cho TCTD,400000,Trieu VND
▪ Lợi thế thương mại (Thuyết minh 15),84835,Trieu VND
▪ Các tài sản có khác,112764,Trieu VND
Dự phòng rủi ro cho các tài sản Có khác (i),-318408,Trieu VND
