Chi_tieu,Gia_tri,Don_vi
"Mua hàng hóa, dịch vụ",7384664562,
- Công ty CP Thương mại Tổng hợp Thuận An,374116182,
- Công ty TNHH Sân Golf Palm Sông Bé,2920442267,
- Công ty CP Phát triển Phú Mỹ,247096172,
- Công ty CP Đầu tư và Phát triển Tân Thành,1053474720,
- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,2789535221,
"Nhận cổ tức, lợi nhuận được chia",263911698114,
- Công ty TNHH MTV Quốc tế Protrade,189417444114,
- Công ty CP May mặc Bình Dương,35494254000,
- Công ty TNHH FrieslandCampina VN,39000000000,
Chi phí đi vay,13029478711,
- Công ty TNHH MTV Quốc tế Protrade,8402082191,
- Công ty TNHH Sân Golf Palm Sông Bé,3449108849,
- Công ty TNHH MTV Giấy Vĩnh Phú,1178287671,
Thanh lý tài sản,345454545,
- Công ty TNHH Sân Golf Palm Sông Bé,345454545,
