Chi_tieu,Gia_tri,Don_vi
"Thu nhập từ thanh lý bao phế thải, phế liệu, CCDC",1334297902,VND
Thu nhập từ thanh lý tài sản cố định,6651046444,VND
Khách hàng bồi thường do hủy hợp đồng,10153994912,VND
Thu nhập từ cho thuê tài sản,3914545458,VND
Tiền thuê đất được giảm năm 2022,5277657182,VND
Thu nhập khác,10609714262,VND
Chi phí giải phóng tàu chậm,197577305,VND
Chi phí khấu hao tài sản cố định,10725341128,VND
"Giá trị còn lại, chi phí thanh lý",4104255703,VND
Chi phí thuê đất Tân Kim,1378647504,VND
Chi phí nộp phạt thuế và phạt vi phạm hành chính,213069801,VND
Chi phí khác,5118556617,VND
Thu nhập khác/chi phí khác (thuần),16203808102,VND
