Chi_tieu,Gia_tri,Don_vi
Chi phí hạ tầng trích trước hoạt động chuyển quyền sử dụng đất khu dân cư An Bình,20240068693,VND
Trích trước tiền thuê đất,18993101150,VND
Trích trước khoản chi phí đến bù và xây dựng hạ tầng khu quy hoạch nhà ở phường Tân Phong,16791312142,VND
Chi phí lãi vay phải trả,18417487629,VND
Chi phí phải trả khác,35998116484,VND
Chi phí trích trước tạm tính giá vốn kinh doanhKhu công nghiệp,366233058267,VND
Chi phí phải trả khác,9412852538,VND
Doanh thu nhận trước cho thuê đất hạ tầng khu công nghiệp,124574935046,VND
Các doanh thu chưa thực hiện khác,5622322447,VND
Doanh thu nhận trước cho thuê đất hạ tầng khu công nghiệp,3288767279592,VND
Các doanh thu chưa thực hiện khác,57577438623,VND
