Chi_tieu,Gia_tri,Don_vi
Lợi nhuận trước thuế Điều chỉnh cho các khoản:,729975128925,VND
Lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,485507377071,VND
Tiền lãi vay đã trả,-142033020514,VND
Thuế thu nhập doanh nghiệp đã nộp,-7694466484,VND
Tiền chi khác cho hoạt động kinh doanh,-51020000,VND
Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động kinh doanh,-78616777240,VND
"Tiền chi để mua sắm, xây dựngTSCĐ và các tài sản dài hạn khác",-39703275406,VND
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-15326000000,VND
"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",72609971000,VND
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,148283000000,VND
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",6694132965,VND
Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động đầu tư,172557828559,VND
Tiền thu từ đi vay,1081991327696,VND
Tiền trả nợ gốc vay,-1096864972234,VND
Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động tài chính,-14873644538,VND
Lưu chuyển tiền và các khoản tương đương tiền thuần trong năm,79067406781,VND
Tiền và các khoản tương đương tiền đầu năm,149105090802,VND
Ảnh hưởng của thay đổi ti giá hối đoái quy đổi ngoại tệ,-8137906,VND
Tiền và các khoản tương đương tiền cuối năm,228164359677,VND
