Chi_tieu,Gia_tri,Don_vi
Vay dài hạn,36305363273196,VND
Vay dài hạn,36305363273196,VND
Số phải trả trong vòng 12 tháng,8826169216122,VND
Số phải trả sau 12 tháng,27479194057074,VND
Ngân hàng TMCP Ngoại thương Việt Nam,30016101894133,VND
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Nội,3304380834562,VND
Ngân hàng TNHH MTV HSBC Việt Nam,1977047318061,VND
Ngân hàng TNHH Woori Việt Nam - Chi nhánh Bắc Ninh,366400666686,VND
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Thành,270140762459,VND
Ngân hàng Quốc tế VIB,241914065035,VND
Ngân hàng BNP Paribas,121377732260,VND
Quỹ bảo vệ môi trường,8000000000,VND
