Chi_tieu,Gia_tri,Don_vi
Tiền gửi có kỳ hạn và chứng chỉ tiền gửi,17535922500000,VND
Thu nhập lãi tiền gửi,156014812926,VND
Chi phí lãi vay,27021197486,VND
Dịch vụ đã cung cấp,15198053711,VND
Chi phí dịch vụ tư vấn,1755600000,VND
Doanh thu vận chuyển hàng hóa,643986543672,VND
Doanh thu cho thuê chuyển bay,394026612500,VND
Doanh thu cho thuê tàu bay,417694356063,VND
Chi phí hoa hồng bán hàng,175716292503,VND
Doanh thu từ dịch vụ tư vấn,119763569215,VND
Doanh thu từ dịch vụ đặt chỗ,79281523500,VND
"Chi phí thu và chi hộ, dòng tiền thu vào thuần",3224377088946,VND
Chi phí thuê tàu bay,247119461282,VND
Đặt cọc quỹ bảo dưỡng tàu bay,108477847747,VND
Cung cấp dịch vụ,525273972960,VND
Trả trước dịch vụ tư vấn,443625000000,VND
Trả trước dịch vụ xây dựng,400295994854,VND
Thanh lý các công ty con,16271500000,VND
"Chi phí trả hộ, dòng tiền chi trả thuần",35570220230,VND
Thù lao và lương,30932611019,VND
