Chi_tieu,Gia_tri,Don_vi
"Tiền mặt, vàng bạc, đá quý",10015748,Trieu VND
Tiền gửi tại NHNN,86822754,Trieu VND
Tiền gửi và cho vay các TCTD khác (*),285151497,Trieu VND
Chứng khoán kinh doanh (*),9243919,Trieu VND
Các công cụ tài chính phải sinh và các tài sản tài chính khác,663256,Trieu VND
Cho vay khách hàng và Trái phiếu doanh nghiệp chưa niêm yết (*),2018949894,Trieu VND
Chứng khoán đầu tư (không bao gồm Trái phiếu doanh nghiệp chưa niêm yết) (*),270898404,Trieu VND
"Góp vốn, đầu tư dài hạn (*)",8085623,Trieu VND
Tài sản cố định,11287876,Trieu VND
Tài sản Có khác (*),47004423,Trieu VND
Tổng tài sản (1),2748123394,Trieu VND
Tiền gửi và vay từ NHNN và các TCTD khác,389344064,Trieu VND
Tiền gửi của khách hàng,1929557458,Trieu VND
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rúti ro",11981467,Trieu VND
Phát hành giấy tờ có giá,199000165,Trieu VND
Các khoản nợ khác,43124242,Trieu VND
Tổng nợ phải trả (2),2573007396,Trieu VND
Mức chênh lệch nhạy cảm với lãi suất nội bằng (3) = (1) - (2),175115998,%
"Mức chênh nhạy cảm với lãi suất nội, ngoại bằng (5) = (3) + (4)",175115998,%
