Chi_tieu,Gia_tri,Don_vi
"Thu nhập từ nhượng bán, thanh lý tài sản cố định",2653313612,
Phạt do vi phạm hợp đồng,385278951,
"Thu nhập từ bán phê liệu, hàng tồn kho kém phẩm chất",1783533086,
Thu từ các khoản nợ khó đòi đã xử lý xóa số,842650094,
"Cho thuê nhà, thuê đất, ki ôt",337674222,
"Thu từ khoản xưởng, khoản đất, khoản vườn uơm",546956176,
"Dự án giống, bảo vệ rừng (Nhà nước hỗ trợ) - Cty CP Giống lâm nghiệp vùng Nam bộ",938116000,
Xử lý công nợ cũ không phải trả,424286482,
"Tiền bồi thường hỗ trợ, đến bù",1842854720,
Thu nhập từ tiền nộp sản phẩm tự trồng trên đất rừng lấn chiếm,280523800,
Xử lý nợ vay phải trả Ngân hàng Ngoại thương Hà Tĩnh từ trước cổ phần hóa,5556185469,
Thu nhập khác,6097156448,
