Chi_tieu,Gia_tri,Don_vi
"1. Tiền thu từ bán hàng, CC DV và doanh thu khác",1243676464956,VND
2. Tiền chi trả cho người cung cấp HH và DV,-1168894396651,VND
3. Tiền chi trả cho người lao động,-13099483035,VND
4. Tiền lãi vay đã trả,-106511303826,VND
5. Thuế thu nhập doanh nghiệp đã nộp,-5457908122,VND
6. Tiền thu khác từ hoạt động kinh doanh,87217400679,VND
7. Tiền chi khác cho hoạt động kinh doanh,-13998111938,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,22932662063,VND
1. Tiền chi để mua sắm XD TSCĐ và các TS DH khác,-20809060067,VND
"2. Tiền thu từ TLý, nhượng bán TSCĐ và các TS DH khác",27682582727,VND
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-1386066235305,VND
"4. Tiền thu hồi cho vay, bán lại các CC nợ của đơn vị khác",1268821258457,VND
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-510533960000,VND
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,53272160000,VND
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",139170247532,VND
Lưu chuyển tiền thuần từ hoạt động đầu tư,-428463006656,VND
"1. Tiền thu từ PH cổ phiếu, nhận vốn góp của CSH",549132850000,VND
2. Tiền thu từ di vay,1274883242053,VND
3. Tiền trả nợ gốc vay,-1178771311975,VND
Lưu chuyển tiền thuần từ hoạt động tài chính,645244780078,VND
Lưu chuyển tiền thuần trong kỳ,239714435485,VND
Tiền và tương đương tiền đầu kỳ,79370179360,VND
Ảnh hưởng của thay đổi tỷ giá hối đoái qui đối ngoại tệ,-717386,VND
Tiền và tương đương tiền cuối kỳ,319083897459,VND
