Chi_tieu,Gia_tri,Don_vi
TÀI SẢN NGĂN HẠN,5405256600641,VND
Tiền và các khoản tương đương tiền,206721179629,VND
Các khoản phải thu ngắn hạn,155196257825,VND
Phải thu ngắn hạn của khách hàng,57664060443,VND
Trả trước cho người bản ngắn hạn,57981679202,VND
Phải thu ngắn hạn khác,39159008338,VND
Tài sản thiếu chờ xử lý,391509842,VND
Hàng tôn kho,4968145942990,VND
Hàng tôn kho,4968145942990,VND
Tài sản ngắn hạn khác,75193220197,VND
Chi phí trả trước ngắn hạn,68191416708,VND
Thuế GTGT được khấu trú,625511019,VND
Thuế và các khoản khác phải thu Nha nước,8376292470,VND
TÀI SẢN DÀI HẠN,1032638955963,VND
Khoản phải thu dài hạn,57498444869,VND
Phải thu dài hạn khác,57498444869,VND
Tài sản cố định,719287274744,VND
Tài sản cố định hữu hình,225960569846,VND
Nguyễn giả,454178423940,VND
Giá trị khấu hao lũy kế,-228217854094,VND
Tài sản cố định vô hình,493326704898,VND
Nguyễn giả,499937407873,VND
Giá trị khấu hao lũy kế,-6610702975,VND
Tài sản dở dang dài hạn,70822681154,VND
Chi phí xây dựng cơ bản dở dang,70822681154,VND
Đầu tư góp vốn vào đơn vị khác,395271613400,VND
Dư phòng đầu tư tài chính dài hạn,-395271613400,VND
Tài sản dài hạn khác,185030555196,VND
Chi phí trả trước dài hạn,99678730358,VND
Tài sản thuê thu nhập hoãn lại,85351824838,VND
TỔNG TÀI SẢN,6437895556604,VND
NỘ PHẢI TRẢ,2692822128700,VND
Nợ ngân hạn,2677317785700,VND
Phải trả người bán ngân hạn,342676925196,VND
Người mua trả tiền trước ngân hạn,82798544221,VND
Thuế và các khoản phải nộp ngân sáchNhà nước,153579308096,VND
Phải trả người lao động,228337052181,VND
Chi phí phải trả ngân hạn,10833940595,VND
Phải trả ngân hạn khác,237629582960,VND
Vay ngân hạn,1558482498026,VND
Quỹ khen thưởng phúc lợi,62979954425,VND
Nợ dài hạn,15504343000,VND
Phải trả dài hạn khác,628026000,VND
Vay dài hạn,7800000000,VND
Dư phòng phải trả dài hạn,7076317000,VND
VÔN CHỦ SỞ HỮU,3745073427904,VND
Vốn chủ sở hữu,3745073427904,VND
Vốn góp của chủ sở hữu,1670029820000,VND
- Có phiếu phổ thông cỏ quyền biểu quyết,1670029820000,VND
Thăng dư vốn cổ phần,925397862458,VND
Cổ phiếu quỹ,-7090000,VND
Quỹ đầu tư phát triển,265087556918,VND
"Lợi nhuận sau thuế (""LNST"") chưaphân phối",884565278528,VND
- LNST chưa phân phối lũy kế cua cac năm trước,98780546381,VND
- LNST chưa phân phối của năm nay,785784732147,VND
