Chi_tieu,Gia_tri,Don_vi
"Tiền mặt, vàng",2356196,Trieu VND
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6412125,Trieu VND
Tiền gửi và cho vay các tổ chức tín dụng khác,19050864,Trieu VND
Tiền gửi tại các tổ chức tín dụng khác,18750212,Trieu VND
Cho vay các tổ chức tín dụng khác,300652,Trieu VND
Cho vay khách hàng,102971210,Trieu VND
Cho vay khách hàng,104042577,Trieu VND
Dự phòng rủi ro cho vay khách hàng,-1071367,Trieu VND
Chứng khoán đầu tư,14903470,Trieu VND
Chứng khoán đầu tư sẵn sàng để bán,10432198,Trieu VND
Chứng khoán đầu tư giữ đến ngày đáo hạn,6762998,Trieu VND
Dự phòng rủi ro chứng khoán đầu tư,-2291726,Trieu VND
"Góp vốn, đầu tư dài hạn",968720,Trieu VND
Đầu tư vào công ty con,955000,Trieu VND
Đầu tư dài hạn khác,110566,Trieu VND
Dự phòng giảm giá đầu tư dài hạn,-96846,Trieu VND
Tài sản cố định,3509309,Trieu VND
Tài sản cố định hữu hình,870089,Trieu VND
Nguyên giá,2138217,Trieu VND
Giá trị hao mòn lũy kế,-1268128,Trieu VND
Tài sản cố định vô hình,2639220,Trieu VND
Nguyên giá,2783402,Trieu VND
Giá trị hao mòn lũy kế,-144182,Trieu VND
Tài sản Có khác,3358335,Trieu VND
Các khoản phải thu,1338912,Trieu VND
"Các khoản lãi, phí phải thu",1188031,Trieu VND
Tài sản Có khác,1138864,Trieu VND
Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-307472,Trieu VND
TỔNG TÀI SẢN,153530229,Trieu VND
Các khoản nợ Ngân hàng Nhà nước Việt Nam,49327,Trieu VND
Tiền gửi và vay các tổ chức tín dụng khác,16011064,Trieu VND
Tiền gửi của các tổ chức tín dụng khác,10571394,Trieu VND
Vay các tổ chức tín dụng khác,5439670,Trieu VND
Tiền gửi của khách hàng,119426516,Trieu VND
Các công cụ tài chính phải sinh và các nợ phải trả tài chính khác,59258,Trieu VND
Các khoản nợ khác,3161819,Trieu VND
"Các khoản lãi, phí phải trả",2193510,Trieu VND
Các khoản phải trả và công nợ khác,879519,Trieu VND
Dự phòng rủi ro khác,88790,Trieu VND
TỔNG NỘ PHẢI TRẢ,138707984,Trieu VND
Vốn chủ sở hữu,14822245,Trieu VND
Vốn điều lệ,12355229,Trieu VND
"Vốn đầu tư xây dựng cơ bản, mua sắm tài sản cố định",15396,Trieu VND
Thặng dư vốn cổ phần,156322,Trieu VND
Cổ phiếu quỹ,-78273,Trieu VND
Các quỹ,1676255,Trieu VND
Lợi nhuận chưa phân phối,697316,Trieu VND
TỔNG VỐN CHỦ SỞ HỮU,14822245,Trieu VND
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,153530229,Trieu VND
Bảo lãnh vay vốn,2,Trieu VND
Cam kết giao dịch hối đoái Trong đó:,94070917,Trieu VND
▪ Cam kết mua ngoại tệ,3377444,Trieu VND
▪ Cam kết bán ngoại tệ,345075,Trieu VND
▪ Cam kết giao dịch hoán đổi tiền tệ,90348398,Trieu VND
Cam kết trong nghiệp vụ L/C,3588324,Trieu VND
Bảo lãnh khác,3081148,Trieu VND
Các cam kết khác,169231,Trieu VND
