Chi_tieu,Gia_tri,Don_vi
Ngắn hạn,302560292,
Tạm ứng cho nhân viên phục vụmục đích sản xuất kinh doanh,204857675,
- Ông Phan Thanh Thù,136263600,
- Nhân viên khác,68594075,
Lãi từ cho vay,77470619,
Phải thu ngắn hạn khác,20231998,
Phải thu từ bên khác,212948729,
Phải thu từ bên liên quan(Thuyết minh số 33),89611563,
Dài hạn,75877608,
Lãi từ cho vay,27421314,
"Ký quỹ, ký cược",11823112,
Phải thu dài hạn khác,36633182,
Phải thu từ bên khác,52528516,
Phải thu từ bên liên quan(Thuyết minh số 33),23349092,
TỔNG CỘNG,378437900,
