Chi_tieu,Gia_tri,Don_vi
Ngắn hạn,269610500554,VND
Phải trả lãi vay,222816398629,VND
Phí bảo trì,12730063584,VND
"Nhận ký quỹ, ký cược ngắn hạn",9234272810,VND
Nhận góp vốn theo HĐHTKD từ các bên liên quan,7366596913,VND
Thu hộ tiền cho chủ đầu tư dự án,5507404363,VND
Phải trả các khoản đầu tư,2286551337,VND
Dài hạn,3921382938366,VND
"Nhận ký quỹ, ký cược dài hạn",3206477389000,VND
Nhận góp vốn theo HĐHTKD từ các bên liên quan,714905549366,VND
TỔNG CỘNG,4190993438920,VND
Phải trả bên liên quan (Thuyết minh số 30),4029220993983,VND
Phải trả bên khác,161772444937,VND
