Chi_tieu,Gia_tri,Don_vi
Tiền gửi từ các cổ đông lớn,-1757538,Trieu VND
Vay từ các cổ đông lớn,-112100,Trieu VND
Tiền gửi tại các cổ đông lớn,1759491,Trieu VND
Tiền gửi từ các bên liên quan khác,-58414,Trieu VND
Lãi phải trả cho các bên liên quan khác,-7994,Trieu VND
Cho các bên liên quan khác vay,-257,Trieu VND
Thu nhập lãi,946,Trieu VND
Chi phí lãi,-29935,Trieu VND
Các bên liên quan khác (*),29,Trieu VND
Thu nhập lãi,-2323,Trieu VND
Thù lao trả cho các thành viên Hội đồng Quản trị,-17747,Trieu VND
Thù lao trả cho Ban Kiểm soát,-7021,Trieu VND
Tiền lương và phụ cấp trả cho Ban Tổng Giám đốc,-48858,Trieu VND
