Chi_tieu,Gia_tri,Don_vi
Lợi nhuận trước thuế,369751399797,VND
Khấu hao TSCĐ và BĐSDĐT,8613256137,VND
Các khoản dự phòng,15722200605,VND
"Lãi, lỗ từ hoạt động đầu tư",-40225768597,VND
Chi phí lãi vay,20066960764,VND
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,373928048706,VND
"Tăng, giảm các khoản phải thu",204726135709,VND
"Tăng, giảm hàng tồn kho",108714963271,VND
"Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",-116676795176,VND
"Tăng, giảm chi phí trả trước",-1688756759,VND
"Tăng, giảm chứng khoán kinh doanh",-24400000,VND
Tiền lãi vay đã trả,-18442308552,VND
Thuế thu nhập doanh nghiệp đã nộp,-73004811791,VND
Tiền chi khác cho hoạt động kinh doanh,-24907426100,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,452624649308,VND
"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-6795372669,VND
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-668500000000,VND
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",517500000000,VND
Tiền chi đầu tư góp vốn vào đơn vị khác,-1149370000000,VND
Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,24400000,VND
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",101872377606,VND
Lưu chuyển tiền thuần từ hoạt động đầu tư,-1205268595063,VND
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",1029359940000,VND
Tiền thu từ đi vay,1339037579255,VND
Tiền trả nợ gốc vay,-1478133271119,VND
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-154403991000,VND
Lưu chuyển tiền thuần từ hoạt động tài chính,735860257136,VND
Lưu chuyển tiền thuần trong kỳ (50=20+30+40),-16783688619,VND
Tiền và tương đương tiền đầu kỳ,43156599295,VND
Tiền và tương đương tiền cuối kỳ (70=50+60+61),26372910676,VND
