Chi_tieu,Gia_tri,Don_vi
C. NỘ PHẢI TRẢ,16268653940969,VND
I. Nợ ngắn hạn,13427903865258,VND
1. Phải trả người bán ngắn hạn,3482818939548,VND
2. Người mua trả tiền trước ngắn hạn,417642163076,VND
3. Thuế và các khoản phải nộp Nhà nước,167199725948,VND
4. Phải trả người lao động,105069186683,VND
5. Chi phí phải trả ngắn hạn,101223708394,VND
6. Phải trả ngắn hạn khác,77593435079,VND
7. Vay và nợ thuê tài chính ngắn hạn,9015062474063,VND
"8. Quỹ khen thưởng, phúc lợi",61294232467,VND
II. Nợ dài hạn,2840750075711,VND
1. Vay và nợ thuê tài chính dài hạn,2835803760461,VND
2. Dự phòng phải trả dài hạn,4946315250,VND
D. VỐN CHỦ SỞ HỮU,5169801932685,VND
I. Vốn chủ sở hữu,5169801932685,VND
1. Vốn cổ phần,3499966830000,VND
Cổ phiếu cổ đông có quyền biểu quyết,3499966830000,VND
2. Thặng dư vốn cổ phần,151583183521,VND
3. Quỹ khác thuộc vốn chủ sở hữu,34535741195,VND
4. Lợi nhuận sau thuế chưa phân phối,1446534555355,VND
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,114870643184,VND
- Lợi nhuận sau thuế chưa phân phối năm nay,1331663912171,VND
5. Lợi ích cổ đông không kiểm soát,37181622614,VND
TỔNG CỘNG NGUỒN VỐN,21438455873654,VND
