Chi_tieu,Gia_tri,Don_vi
Công ty CP Xỉ măng Bim Son (BCC),0,
Công ty CP Xỉ măng Sài Son (SCJ),1186747500,
Công ty CP Phát triển Đô thị Kinh Bắc (KBC),2934236720,
Tổng Công ty CP Bảo hiểm Đầu khí Việt Nam (PVI),0,
Công ty CP Đầu tư và Công nghiệp Tân Tạo (ITA),1442160000,
Ngân hàng Thương mại Cổ phần Á Châu (ACB),3847587,
Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội (SHB),396792,
Công ty CP Công nghiệp Cao su Miền Nam (CSM),28400000,
Công ty Cổ phần Chương Dương (CDC),0,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Thái Bình Dương (PPI),4096741500,
Công ty Cổ phần Chiếu xạ An Phú (APC),0,
Công ty Cổ phần Đầu tư Xây dựng Công trình Miền Đông (MDG),0,
Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Đầu khí (PVD),0,
Ngân hàng TMCP Quân đội (MBB),0,
Công ty Cổ phần Bảo vệ Thực vật Sài Gòn (SPC),153600000,
Công ty Cổ phần Phấn lân Nung cháy Văn Điển (VAF),645152500,
Công ty Cổ phần Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam (VRG),187750000,
Công ty Cổ phần Du lịch - Thương mại Tây Ninh,0,
Công ty Cổ phần Thép Hưng Thịnh,0,
