Chi_tieu,Gia_tri,Don_vi
Công ty Cổ phần Logistics Cảng Đà Nẵng,45752120,VND
Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,6442200,VND
Công ty TNHH Tuyến Container T.S. Hà Nội,12440338274,VND
Công ty TNHH Cảng Nam Hải Đình Vũ,1269376920,VND
Công ty TNHH Đại lý Vận tải Evergreen (Việt Nam),24694847334,VND
(i),38456756848,VND
Công ty Cổ phần Cảng Logistics Đà Nẵng,39586600,VND
Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,1849819072,VND
Công ty TNHH Cảng Nam Hải Đình Vũ,16691202661,VND
Công ty TNHH Đại lý Vận tải Evergreen (Việt Nam),2366699690,VND
(ii),20947308023,VND
