Chi_tieu,Gia_tri,Don_vi
"Tiền mặt, vàng bạc, đá quý",3349166,Trieu dong
Tiền gửi tại Ngân hàng Nhà nước,29825253,Trieu dong
Tiền gửi và cho vay các tổ chức tin dụng khác,76785622,Trieu dong
Tiền gửi tại các tổ chức tin dụng khác,63887837,Trieu dong
Cho vay các tổ chức tin dụng khác,12903651,Trieu dong
Dự phòng rủi ro,-5866,Trieu dong
Chứng khoán kinh doanh,7931655,Trieu dong
Chứng khoán kinh doanh,7931834,Trieu dong
Dự phòng rủi ro chứng khoán kinh doanh,-179,Trieu dong
Cho vay khách hàng,765047985,Trieu dong
Cho vay khách hàng,776657846,Trieu dong
Dự phòng rủi ro cho vay khách hàng,-11609861,Trieu dong
Hoạt động mua nợ,951509,Trieu dong
Mua nợ,1041362,Trieu dong
Dự phòng rủi ro hoạt động mua nợ,-89853,Trieu dong
Chứng khoán đầu tư,209637377,Trieu dong
Chứng khoán đầu tư sẵn sàng để bán,205507956,Trieu dong
Chứng khoán đầu tư giữ đến ngày đáo hạn,4612504,Trieu dong
Dự phòng rủi ro chứng khoán đầu tư,-483083,Trieu dong
"Góp vốn, đầu tư dài hạn",609477,Trieu dong
Đầu tư dài hạn khác,775670,Trieu dong
Dự phòng giảm giá đầu tư dài hạn,-166193,Trieu dong
Tài sản cố định,5430416,Trieu dong
Tài sản cố định hữu hình,3750696,Trieu dong
Nguyên giá,9014672,Trieu dong
Hao mòn lũy kế,-5263976,Trieu dong
Tài sản cố định vô hình,1679720,Trieu dong
Nguyên giá,4976669,Trieu dong
Hao mòn lũy kế,-3296949,Trieu dong
Bất động sản đầu tư,234115,Trieu dong
Nguyên giá,260415,Trieu dong
Hao mòn lũy kế,-26300,Trieu dong
Tài sản Có khác,28998487,Trieu dong
Các khoản phải thu,14360628,Trieu dong
"Các khoản lãi, phí phải thu",8918622,Trieu dong
Tài sản thuế thu nhập doanh nghiệp hoãn lại,38912,Trieu dong
Tài sản Có khác,5873749,Trieu dong
- Trong đó: Lợi thế thương mại,9523,Trieu dong
Có nội bảng khác,-193424,Trieu dong
TỔNG TÀI SẢN,1128801062,Trieu dong
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,8156285,Trieu dong
Tiền gửi và vay các tổ chức tín dụng khác,110169585,Trieu dong
Tiền gửi của các tổ chức tín dụng khác,79515610,Trieu dong
Vay các tổ chức tín dụng khác,30653975,Trieu dong
Tiền gửi của khách hàng,714154479,Trieu dong
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,191545,Trieu dong
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",2793453,Trieu dong
Phát hành giấy tờ có giá,128964033,Trieu dong
Các khoản nợ khác,47312101,Trieu dong
"Các khoản lãi, phí phải trả",9899902,Trieu dong
Các khoản phải trả và công nợ khác,37411147,Trieu dong
Dự phòng các khoản nợ khác,1052,Trieu dong
TỔNG NỘ PHẢI TRẢ,1011741481,Trieu dong
Vốn của tổ chức tín dụng,56295833,Trieu dong
Vốn điều lệ,53063241,Trieu dong
Thặng dư vốn cổ phần,1304334,Trieu dong
Vốn khác,1928258,Trieu dong
Các quỹ của tổ chức tín dụng,14996847,Trieu dong
Chênh lệch tỷ giá hối đoái,137797,Trieu dong
Lợi nhuận chưa phân phối,40718224,Trieu dong
Lợi ích của cổ đông không kiểm soát,4910880,Trieu dong
TỔNG VỐN CHỦ SỞ HỮU,117059581,Trieu dong
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,1128801062,Trieu dong
