Chi_tieu,Gia_tri,Don_vi
Ngày 1 tháng 1 năm 2020,128489848227,
Tăng trong năm,15001468029,
Mua mới,14742671044,
Tăng khác,258796985,
Giảm trong năm,-4090697504,
"Thanh lý, nhượng bán",-4090697504,
Ngày 31 tháng 12 năm 2020,139400618752,
Ngày 1 tháng 1 năm 2020,78037651732,
Tăng trong năm,15601163101,
Hao món trong năm,15480391172,
Tăng khác,120771929,
Giảm trong năm,-4090697504,
"Thanh lý, nhượng bán",-4090697504,
Ngày 31 tháng 12 năm 2020,89548117329,
Ngày 1 tháng 1 năm 2020,50452196495,
Ngày 31 tháng 12 năm 2020,49852501423,
