Chi_tieu,Gia_tri,Don_vi
Ngân hàng TMCP Ngoại thương Việt NamTrong đó: vay dài hạn đến hạn trả,6489976,VND
Ngân hàng TMCP Ngoại thương Việt NamTrong đó: vay dài hạn đến hạn trả,1676000,VND
Ngân hàng TMCP Việt Nam Thịnh VươngTrong đó: vay dài hạn đến hạn trả,2444151,VND
Ngân hàng TMCP Việt Nam Thịnh VươngTrong đó: vay dài hạn đến hạn trả,485000,VND
"Ngân hàng HSBC, Singapore Branch",1917040,VND
"Ngân hàng Woori Bank, Singapore Branch",1445916,VND
Ngân hàng TMCP Quân độiTrong đó: vay dài hạn đến hạn trả,2000000,VND
Ngân hàng TMCP Quân độiTrong đó: vay dài hạn đến hạn trả,100000,VND
Ngân hàng TMCP Đầu tư và Phát triển Việt NamTrong đó: vay dài hạn đến hạn trả,870954,VND
Ngân hàng TMCP Đầu tư và Phát triển Việt NamTrong đó: vay dài hạn đến hạn trả,58064,VND
Ngân hàng TMCP Kỹ Thương Việt NamTrong đó: vay dài hạn đến hạn trả,345000,VND
Ngân hàng TMCP Kỹ Thương Việt NamTrong đó: vay dài hạn đến hạn trả,345000,VND
Ngân hàng TNHH MTV Woori Việt NamTrong đó: vay dài hạn đến hạn trả,24060,VND
Ngân hàng TNHH MTV Woori Việt NamTrong đó: vay dài hạn đến hạn trả,18960,VND
Một số đối tác doanh nghiệp (*)Trong đó: vay dài hạn đến hạn trả,8244536,VND
Một số đối tác doanh nghiệp (*)Trong đó: vay dài hạn đến hạn trả,84095,VND
Các bên thu xếp tín dụng của khoản vay hợp vốn 1Trong đó: vay dài hạn đến hạn trả,13380161,VND
Các bên thu xếp tín dụng của khoản vay hợp vốn 1Trong đó: vay dài hạn đến hạn trả,2127264,VND
Các bên thu xếp tín dụng của khoản vay hợp vốn 2Trong đó: vay dài hạn đến hạn trả,2192878,VND
Các bên thu xếp tín dụng của khoản vay hợp vốn 2Trong đó: vay dài hạn đến hạn trả,358215,VND
Các bên thu xếp tín dụng của khoản vay hợp vốn 3Trong đó: vay dài hạn đến hạn trả,3716764,VND
Các bên thu xếp tín dụng của khoản vay hợp vốn 3Trong đó: vay dài hạn đến hạn trả,3716764,VND
Các bên thu xếp tín dụng của khoản vay hợp vốn 4Trong đó: vay dài hạn đến hạn trả,4262746,VND
Các bên thu xếp tín dụng của khoản vay hợp vốn 4Trong đó: vay dài hạn đến hạn trả,4262746,VND
Các bên thu xếp tín dụng của khoản vay hợp vốn 5Trong đó: vay dài hạn đến hạn trả,8747140,VND
Các bên thu xếp tín dụng của khoản vay hợp vốn 5Trong đó: vay dài hạn đến hạn trả,1456499,VND
Các bên thu xếp tín dụng của khoản vay hợp vốn 8,5848581,VND
Các bên thu xếp tín dụng của khoản vay hợp vốn 11,730000,VND
Các bên thu xếp tín dụng của khoản vay hợp vốn 12,5111999,VND
TỔNG CỘNG,84784554,VND
