Chi_tieu,Gia_tri,Don_vi
"A.7.22. Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn",4019015500,
A.7.23. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,19078882703,
A.7.23. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,12383724473,
A.7.23. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,1071132655,
"Phí GDCK, phí lưu ký và chuyển khoản, phí đại lý mở tài khoản, lãi vay cho giao dịch ký quỹ",11635008140,
Công ty Cổ phần Xây dựng P.E.N.T.H.O.U.S.E,135000000,
Công ty TNHH phần mềm FPT,94400000,
Công ty Cổ Phần DV Công Nghệ TSC VN,85322500,
Công ty TNHH Phần mềm Kỷ Nguyên Số,75950000,
Công ty TNHH TM&DV Green Star Hà Nội,25500000,
CN Công ty TNHH Lavie -Tại Hà Nội,10540800,
Công ty TNHH Dịch Vụ Kho Vận Als,9771858,
Chi nhánh Công ty cổ phần Hai bốn bày tại Hà Nội,4141309,
Chi Nhánh Đà Nẵng - Công ty Cổ Phần Viễn Thông FPT,896500,
Công ty TNHH Mai Linh Đà Nẵng,561000,
- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn,4019015500,
- Phải trả các Ngân hàng (đặt cọc thực hiện hợp đồng môi giới trái phiếu Chính phủ và các chứng chỉ tiền gửi),1300000000000,
- Phải trả phải nộp khác,2120615595,
