Chi_tieu,Gia_tri,Don_vi
Đầu tư vào công ty con,2323937963353,VND
Công ty TNHH Du lịch DIC,784498221388,VND
Công ty CP Thủy Cung DIG,147250000000,VND
Công ty TNHH Đầu tư Phát triển Xây dựng Hà Nam,77391698291,VND
Công ty CP Gạch men Anh Em DIC,75250000000,VND
Công ty CP Đầu tư Phát triển Xây dựng Số 1,14726900000,VND
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,31782796574,VND
Công ty CP Đầu tư Phát triển Tầm nhìn DIC,29600000000,VND
Công ty CP Đầu tư Phát triển Thương mại DIC,29600000000,VND
Công ty TNHH Đại Phước Thiên An,1133538347100,VND
Công ty TNHH MTV Đầu Tư Phát Triển Đô Thị và Khu,300000000,VND
Đầu tư vào công ty liên kết,447522688500,VND
Công ty CP Xây dựng DIC Holdings,171602184500,VND
Công ty CP Bất động sản D.I.C,19938000000,VND
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,30582504000,VND
Công ty CP Đầu tư phát triển Phương Nam,225400000000,VND
Đầu tư góp vốn vào đơn vị khác,61974545019,VND
Công ty CP Đầu tư và Thương mại DIC,40204950907,VND
Công ty CP Cao su Phú Riềng – Kratie,20000000000,VND
Công ty CP Vina Đại Phước,1610000000,VND
Công ty CP Đầu tư Phát triển Xây dựng Hội An,159594112,VND
