Chi_tieu,Gia_tri,Don_vi
Doanh thu phục vụ mặt đất cơ bản/ trọn gói,287472582644,VND
Doanh thu phục vụ hành khách,7912759326961,VND
"Doanh thu soi chiếu an ninh hành khách,hành lý",777532704780,VND
Doanh thu dịch vụ hàng không khác,1826358489228,VND
Doanh thu cho thuê mặt bằng,594233944244,VND
Doanh thu cho thuê quảng cáo,211442948228,VND
Doanh thu dịch vụ bến bãi,472204790649,VND
Doanh thu dịch vụ cung cấp tiện ích,91078076394,VND
"Doanh thu phục vụ khách VIP, F, C,...",100539033192,VND
Doanh thu dịch vụ phi hàng không khác,138233159715,VND
2. Doanh thu bán hàng,1306573250728,VND
Chiết khấu thương mại,-43196600601,VND
Doanh thu cung cấp dịch vụ,12368658455434,VND
Doanh thu bán hàng,1306573250728,VND
