Chi_tieu,Gia_tri,Don_vi
Tiền và các khoản tương đương tiền,3519401466338,VND
Tài sản tài chính,86097675766460,VND
Tài sản tài chính ghi nhận thông qua lãi/lỗ,37634045969086,VND
Giữ đến ngày đáo hạn,8178697896127,VND
Các khoản cho vay (không bao gồm dự phòng),38940059337071,VND
Sẵn sàng để bán,473293397647,VND
Góp vốn đầu tư dài hạn,871579166529,VND
Tài sản khác,1860429284044,VND
"Các khoản cảm cố, ký quỹ, ký cược",29968074446,VND
Phải thu khác (không bao gồm dự phòng),1106557325347,VND
Tài sản khác,67547862980,VND
Tài sản cố định (bao gồm chi phí xây dựng cơ bản dở dang),656356021271,VND
Tổng cộng,91477506516842,VND
Vay và nợ ngắn hạn,60160501864584,VND
Phải trả hoạt động kinh doanh chứng khoán,327632120836,VND
Chi phí phải trả,152166507469,VND
Thuế và các khoản phải nộp Nhà nước,618566347878,VND
"Phải trả, phải nộp khác",634809489932,VND
Tổng cộng,61893676330699,VND
Mức chênh lệch thanh khoản ròng,29583830186143,VND
